session_id,started_at,ended_at,end_reason,total_cost_usd,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,models,git_branch
a9d56b7a-4c18-4ddb-bae4-80e6c1567445,2026-08-13T05:22:36.931Z,2026-08-13T05:56:29.655Z,other,2.029745,149,37050,191217,3293717,3522133,claude-opus-4-8,HEAD
235ca945-9ef8-4343-bafb-15630ae4abdd,2026-08-13T05:44:32.534Z,2026-08-13T05:46:37.299Z,other,0.175546,18,3575,28222,216116,247931,claude-opus-4-8,add-notion-link-rereader
649bc7c7-f54d-49f7-aa54-68b5d2f38c9f,2026-08-13T05:58:34.840Z,2026-08-13T06:23:11.441Z,other,2.841357,211,55596,281204,5802280,6139291,claude-opus-4-8,add-notion-link-rereader
0dde5c97-bc82-4de0-934f-5320f02c334a,2026-08-13T06:30:08.499Z,2026-08-13T07:28:55.798Z,other,0.951322,75,18216,179184,1224127,1421602,claude-opus-4-8,add-notion-link-rereader
a7ca63e2-eb47-42ed-b9df-0e2bedd22957,2026-08-13T07:27:53.333Z,2026-08-13T09:32:10.247Z,other,0.713586,63,7940,111045,858998,978046,claude-opus-4-8,add-notion-link-rereader
98028806-49d2-49ad-afa9-7daf0f944b97,2026-08-13T09:33:32.051Z,2026-08-13T09:47:03.806Z,other,1.755453,130,64385,144665,3448622,3657802,claude-opus-4-8,add-notion-link-rereader
882f802c-4e08-4951-acd9-fba01bfb8036,2026-08-13T09:54:59.491Z,2026-08-13T10:01:45.799Z,other,1.144800,126,27070,110253,2808868,2946317,claude-opus-4-8,add-notion-link-rereader
de33c398-df17-453b-939b-ff173cb89df3,2026-08-13T10:02:32.009Z,2026-08-13T10:14:29.532Z,other,1.299737,208,62150,426457,7019846,7508661,"claude-opus-4-8,claude-sonnet-5",main
bf8f67d4-e606-4d72-a6ba-366b1defdce8,2026-08-14T01:20:34.516Z,2026-08-14T01:28:56.410Z,other,ERROR,0,0,0,0,0,<synthetic>,main
83667fca-89dc-43d1-af3e-f9b0b2f68e20,2026-08-15T05:17:32.486Z,2026-08-15T05:20:13.923Z,other,0.564479,2237,10894,78509,834427,926067,claude-opus-4-8,main
6c2aa9ef-32db-461e-8abd-aa3f4cf8d385,2026-08-15T05:47:05.778Z,2026-08-15T05:50:36.671Z,other,0.301513,31,4603,32872,433024,470530,claude-opus-4-8,main
7a99ba2a-e063-4721-8e0b-6ec73d1f3894,2026-08-16T02:23:39.248Z,2026-08-16T02:36:48.846Z,other,1.591570,185,71356,119107,4410483,4601131,claude-opus-4-8,main
38a85750-a14e-4548-bc2a-83870b655830,2026-08-16T02:55:10.438Z,2026-08-16T02:55:31.614Z,other,0.156538,14,973,24571,163414,188972,claude-opus-4-8,main
b311bfbd-b7c3-4f04-944b-b676aa7e111b,2026-08-16T03:36:20.987Z,2026-08-16T03:42:39.886Z,other,1.047059,74,27648,191888,1614117,1833727,claude-opus-4-8,main
8ab51d03-4343-4a47-8eeb-1d0c392abb06,2026-08-16T03:45:57.480Z,2026-08-16T04:03:06.379Z,other,1.870008,117,62687,547632,2858041,3468477,"<synthetic>,claude-opus-4-8,claude-sonnet-5",change/add-link-liveness-check
8c47f711-9e39-481f-80e5-a658b941ec14,2026-08-16T04:04:22.129Z,2026-08-16T04:05:36.131Z,other,0.248924,34,3352,30361,502270,536017,claude-opus-4-8,change/add-link-liveness-check
